,nome,genero
853,Andrew Davis,M
854,Chris Sarandon,M
855,Ethan Coen,M
856,Emir Kusturica,M
857,Jeff Daniels,M
858,Orson Welles,M
859,Vincent Price,M
860,Bob Hoskins,M
861,Gary Oldman,M
862,Edward Zwick,M
863,Crispin Glover,M
864,Charlie Sheen,M
865,Wil Wheaton,M
866,Bruce Dern,M
867,Ed Harris,M
868,John Rhys-Davies,M
869,Gabriel Byrne,M
870,Anthony Hopkins,M
871,Richard Farnsworth,M
872,Robert Clouse,M
873,Christopher Guest,M
874,Tatsuya Nakadai,M
875,John Cusack,M
876,David Lean,M
877,John Lurie,M
878,Jim Jarmusch,M
879,Stanley Donen,M
880,Sam Waterston,M
881,Bruce Robinson,M
882,Roland Joffé,M
883,Leonard Nimoy,M
884,John Heard,M
885,Roger Donaldson,M
886,Hayao Miyazaki,M
887,John Getz,M
888,Joel Coen,M
889,Tom Hanks,M
890,Val Kilmer,M
891,Stephen Frears,M
892,Akira Kurosawa,M
893,Frank Oz,M
894,Matthew Modine,M
895,Danny Glover,M
896,Jonathan Pryce,M
897,Peter Bogdanovich,M
898,Emilio Estevez,M
899,Jonathan Lynn,M
900,Michael J. Fox,M
901,Sean Astin,M
902,Anthony Michael Hall,M
903,Christopher Plummer,M
904,Gary Busey,M
905,Paul McCartney,M
906,Judd Nelson,M
907,Steven Bauer,M
908,James Garner,M
909,James Foley,M
910,Chris Penn,M
911,Spike Lee,M
912,John Cassavetes,M
913,Charles Bronson,M
914,Marcello Mastroianni,M
915,Federico Fellini,M
916,Jonathan Demme,M
917,Woody Allen,M
918,Anthony Quinn,M
919,Moustapha Akkad,M
920,Mel Brooks,M
921,Tommy Chong,M
922,Charlton Heston,M
923,Mike Newell,M
924,Peter Boyle,M
925,Peter O'Toole,M
926,Laurence Olivier,M
927,Scott Glenn,M
928,Burt Reynolds,M
929,Paul Newman,M
930,Leslie Nielsen,M
931,Darren McGavin,M
932,Richard Dreyfuss,M
933,Harrison Ford,M
934,Steven Spielberg,M
935,Treat Williams,M
936,Mike Nichols,M
937,Frank Langella,M
938,Jean Martin,M
939,John Huston,M
940,Trevor Howard,M
941,Walter Matthau,M
942,Elliott Gould,M
